Recipe_Index,Title,Ingredients,Instructions,Image_Name,Count,Rating
328,"Chickpea Salad With Lemon, Parmesan, and Fresh Herbs","['1 15-to 15 1/2-ounce can chickpeas (garbanzo beans), rinsed, drained', '2 tablespoons chopped fresh basil', '2 tablespoons chopped fresh Italian parsley', '2 tablespoons fresh lemon juice', '4 teaspoons extra-virgin olive oil', '1 small garlic clove, pressed', '1/3 cup (packed) freshly grated Parmesan cheese', 'Coarse kosher salt']","Combine rinsed and drained chickpeas, chopped fresh basil, chopped Italian parsley, fresh lemon juice, extra-virgin olive oil, and pressed garlic clove in medium bowl. Add grated Parmesan cheese and toss gently to blend all ingredients thoroughly. Season chickpea salad to taste with coarse kosher salt and freshly ground black pepper. DO AHEAD: Chickpea salad can be made 4 hours ahead. Cover and refrigerate. Serve salad chilled or at room temperature.",chickpea-salad-with-lemon-parmesan-and-fresh-herbs-364611,0,
329,Salmon Panzanella With Green Beans,"['Vegetable oil cooking spray', '1 pound salmon fillet, skin removed', '1/2 teaspoon salt, divided', '1/4 teaspoon black pepper, divided', '1/2 pound green beans, cut into 1-inch pieces', '3 tablespoons extra-virgin olive oil', '1 tablespoon plus 1 teasoon red wine vinegar', '2 cups cherry tomatoes, halved', '1 cup thinly sliced red onion', '8 ounce whole-wheat baguette, cut into 1-inch cubes', '1/2 cup fresh basil', 'cut into thin strips']","Heat broiler to low. Coat a baking sheet with cooking spray. Season salmon with 1/4 teaspoon salt and 1/8 teaspoon pepper. Broil until cooked through, 5 minutes per side; let cool. Bring water to a boil in a small saucepan; cook beans until bright green and crisp-tender, about 3 minutes; drain and set aside. Whisk oil, vinegar, remaining 1/4 teaspoon salt and remaining 1/8 teaspoon pepper in a serving bowl; add beans, tomatoes, onion, bread cubes and basil, then toss. Flake salmon and add to salad; toss gently. Let sit 10 minutes before serving.",salmon-panzanella-with-green-beans-364530,0,
330,Turkey Sweet Potato Shepherd's Pie,"['2 tablespoons EVOO (extra-virgin olive oil)', '2 pounds ground turkey or chopped leftover turkey', 'Salt and pepper', '2 teaspoons poultry seasoning', '2 1/2 pounds sweet potatoes, peeled and cubed', '1 onion, peeled', '2 carrots, peeled', '4 celery stalks from the heart, chopped', '4 tablespoons (1/2 stick) butter', '2 tablespoons all-purpose flour', '2 cups turkey or chicken stock', 'A few dashes of Worcestershire sauce', '1 (10-ounce) box frozen peas', '1 very ripe banana, sliced', 'A few dashes of hot sauce', '2 cups shredded sharp yellow cheddar cheese']","Preheat the oven to 218°C.
In a deep ovenproof skillet or a Dutch oven, heat the EVOO over high heat. Add the turkey and break it up with a wooden spoon; season with salt and pepper and the poultry seasoning. Place the sweet potatoes in a pot with water to cover. Cover the pot, bring to a boil, then salt the water and cook the potatoes for 15 minutes, or until tender.
Grate the onion and carrots directly into the skillet with the turkey. Add the celery, stir, and cook for 5 minutes. While the vegetables are cooking, heat 2 tablespoons of the butter in a small pot over medium heat. Add the flour to the melted butter and whisk for 1 minute, then whisk in the stock and season with salt, pepper, and Worcestershire. Cook for a few minutes, until thickened, then add to the turkey mixture. Stir in the peas into the turkey mixture and turn off the heat.
Drain the potatoes and return the hot pot to the heat. Add the remaining 2 tablespoons of butter and melt over medium heat. Add the banana and potatoes to the pot and season with salt, pepper, and hot sauce. Mash the potatoes and banana to combine, and adjust the seasoning.
Spoon the potatoes onto the meat, and cover the potatoes with the cheese. Bake uncovered for 5 minutes to melt the cheese.",turkey-sweet-potato-shepherds-pie-363344,0,
331,Barbecued Chicken and Chickpea Quesadillas,"['2 cups shredded cooked chicken', '1/2 cup bottled barbecue sauce', 'Sea salt and freshly ground black pepper', '1 15-ounce can chickpeas (about 2 cups), drained but not rinsed, 2 tablespoons liquid reserved', '2 garlic cloves, minced', '2 scallions, minced (white and green parts)', '8 7-inch flour tortillas', '1/2 cup fresh cilantro leaves', '2 ounces smoked Gouda cheese, shredded (about 1/2 cup)', '2 ounces Monterey Jack cheese, shredded (about 1/2 cup)', 'Olive oil for oiling the grill pan']","Preheat the oven to 93°C.
Combine the chicken and barbecue sauce in a medium bowl, season to taste with salt and pepper, and toss gently to coat.
In a separate medium bowl, combine the chickpeas and the reserved liquid, garlic, and scallions and mash the ingredients together with a potato masher, leaving the mixture slightly chunky. Season to taste with salt and pepper and stir to combine.
To assemble the quesadillas, lay the tortillas on a flat work surface and spread the chickpea mixture over half of each tortilla, dividing it evenly. Top with the chicken and sprinkle each with a few cilantro leaves and the cheeses. Fold the tortillas in half to form half-moons.
Lightly grease a grill pan or cast-iron skillet with olive oil and heat it over medium-high heat until it's hot. Place two of the quesadillas in the skillet to grill for about 2 minutes per side, turning once, until the cheese is melted and the tortillas are golden brown. Transfer the quesadillas to a baking sheet and place them in the oven to keep them warm. Repeat the process with the remaining quesadillas, adding more oil to the pan if it's dry. Cut the quesadillas into wedges and serve warm.",barbecued-chicken-and-chickpea-quesadillas-363314,0,
332,Honeyed Prawns & Polenta,"['4 tablespoons tomato paste', '3 tablespoons honey', '1 tablespoon lemon juice', '1 tablespoon extra-virgin olive oil', '1 teaspoon hot sauce', '1/2 teaspoon garlic powder', 'Sea salt', '1 pound large, peeled, and deveined prawns', '1 cup polenta', '1 1/4 cups (10 ounces) corn kernels, fresh or frozen', '1/4 cup currants', '1 tablespoon honey', '1 tablespoon butter', '1 teaspoon fresh thyme, or 1/2 teaspoon dried', 'Sea salt', 'Black pepper', '1/3 cup feta cheese, crumbled', '2 to 3 tablespoons fresh parsley, finely chopped', '2 tablespoons capers', 'Hot sauce (optional)']","1. Preheat the oven to 204°C (204°C). Butter an 8 x 10-inch (20.3 x 25.4 cm) baking dish. Oil a rimmed baking sheet with olive oil. Set the pans aside.
2. To make the marinade: Combine the tomato paste, honey, lemon juice, olive oil, hot sauce, garlic powder, and a pinch or two of salt in a medium bowl. Toss the prawns with the marinade. Set the bowl aside, giving it a stir every few minutes.
3. For the polenta: Bring 3 cups cold water to a boil in a medium stainless-steel pot. Add the polenta. Cook seven minutes, stirring often. Remove the pot from the heat, cover, and let sit for 10 minutes.
4. In a large bowl, mix the corn (completely thawed if frozen), currants, honey, butter, and thyme. Stir in the polenta, and season with salt and pepper to taste.
5. Add polenta mixture to the buttered baking dish. Spread evenly with a spatula, and place in the oven to bake for 35 minutes.
6. Spread the prawn mixture evenly onto the oiled baking sheet. After the polenta has baked for 25 minutes, add the prawns to the oven, alongside the polenta. Place both pans on same rack if possible; otherwise, place the baking sheet on the lower rack.
7. Bake the prawns for five minutes. Remove the baking sheet from the oven, and flip all of the prawns over. Return to the oven and bake an additional five minutes, until the polenta is slightly browned and the prawns are pink and firm.
8. Remove the prawns and the polenta from the oven. To serve, scoop individual servings of the polenta onto plates. Lay a few prawns over each serving, then top with crumbled feta, fresh parsley, and capers. Drizzle with a few lashings of hot sauce, if desired.",honeyed-prawns-polenta-364469,0,
333,Stuffed Portobello Mushrooms,"['2 portobello mushrooms', '1 teaspoon olive oil', '1 teaspoon balsamic vinegar', 'Salt and black pepper', '1 leek, thinly sliced and rinsed clean (white and light green parts only)', '2 cups spinach leaves', '1/2 cup canned white kidney or cannellini beans, drained and rinsed', '2 tablespoons grated Parmesan cheese']","Preheat the oven to 232°C. Set the mushrooms gill side up on a rimmed baking sheet. Drizzle with the oil and vinegar and season with salt and pepper. Bake for 15 minutes.
Meanwhile, coat a large nonstick skillet with cooking spray; place over medium heat. Add the leek; cook for 5 minutes, stirring. Add the spinach a handful at a time, stirring constantly, until it cooks down. Stir in the beans and salt and pepper to taste; cook for 1 minute to combine the flavors.
Fill the mushroom cavities with the spinach mixture. Sprinkle with the cheese. Bake for 10 minutes, until the mushrooms are warmed through and the cheese is melted. Serve.",stuffed-portobello-mushrooms-363381,0,
334,Soba Noodle Stir-Fry,"['3 ounces soba noodles', '4 ounces extra-firm tofu, drained, patted dry, and cut into small cubes', 'Salt', '1 stalk broccoli, cut into small florets, stems thinly sliced', '2 ounces sugar snap peas', '1 tablespoon reduced-fat smooth peanut butter', '1 tablespoon rice vinegar', '1 tablespoon reduced-sodium soy sauce', 'Pinch of red pepper flakes, if desired', '2 cloves garlic', 'minced']","Cook the noodles according to the package directions. Drain and rinse well under cold water to prevent sticking.
Lightly coat a large nonstick skillet with cooking spray; place over medium-high heat. Add the tofu and season with salt. Cook for 8 minutes, until golden, stirring occasionally. Transfer to a platter.
Coat the skillet again with cooking spray; place over medium-high heat. Add the broccoli, peas, and a splash of water. Cover and cook for 5 minutes, until the vegetables are crisp-tender.
Meanwhile, make the sauce. In a small bowl, whisk together the peanut butter and 2 tablespoons water. Whisk in the vinegar, soy sauce, and pepper flakes, if desired.
Add the reserved noodles, the tofu, garlic, and sauce to the vegetables. Cook for 2 minutes, tossing, until the noodles are warmed through. Serve.",soba-noodle-stir-fry-363380,0,
335,Tacos Al Pastor,"['40 dried guajillo chiles', '20 dried ancho chiles', '20 dried pasilla negro chiles', '2 1/2 cups fresh orange juice', 'Grated zest of 1 orange', '1/3 cup firmly packed dark brown sugar', '9 cloves garlic', '1 1/2 tablespoons cumin seed, toasted and ground (page 164)', '1 1/2 tablespoons dried Mexican oregano, toasted and ground (page 161)', '1 1/2 tablespoons kosher salt', '1 tablespoon black pepper', '1 1/2 tablespoons distilled vinegar', '1 tablespoon fresh lime juice', '6 ounces cola', '8 ounces Mexican beer', '4 pounds pork shoulder, cut into 1/2-inch cubes', '3 tablespoons vegetable oil', '24 (5 1/2-inch) soft white corn tortillas (page 13), for serving', 'Garnish: Caramelized diced pineapple']","Stem, seed, and rehydrate the dried chiles (page 153). Drain and set aside, reserving the soaking liquid.
In a small saucepan, simmer the orange juice over medium-low heat until reduced by half; set aside. In the jar of a blender, puree the rehydrated chiles until smooth, adding some of the soaking water, if needed, to achieve a smooth consistency.
In a large bowl, add the reduced orange juice, pureed chiles, orange zest, brown sugar, garlic, cumin, oregano, salt, black pepper, vinegar, lime juice, cola, and beer and stir to mix well. Add the pork, cover, and marinate in the refrigerator overnight.
When ready to cook, remove the pork from the marinade and drain well. In a large, heavy skillet, heat the oil over medium-high heat. Sauté the pork pieces until the meat is cooked through, about 7 minutes. Remove from the heat and serve right away or keep warm in the pan until ready to serve.
To serve, lay the tortillas side by side, open face and overlapping on a platter. Divide the filling equally between the tortillas and top with pineapple and salsa. Grab, fold, and eat right away. Or build your own taco: lay a tortilla, open face, in one hand. Spoon on some filling, top with pineapple and salsa, fold, and eat right away.",tacos-al-pastor-363454,0,
336,Grilled Stuffed Peppers,"['2 tablespoons seasoning blend of your choice', '1 teaspoon salt (omit if there is salt in the seasoning mix)', '1/2 cup white wine', '1/2 pound venison sausage (substitute breakfast sausage meat)', '1/2 pound ground beef', '1 cup cooked rice', '2 cloves garlic, minced', '1 egg, beaten', '1/2 cup minced fresh parsley leaves', 'Cayenne pepper', 'Ground cumin', 'Oil, for frying', '3 small green bell peppers (four lobes preferred)']","Mix the seasoning blend, salt, and wine in a small bowl and stir well. Then combine the mixture with all the other ingredients except the oil and peppers in a mixing bowl and mash with your hands until all the ingredients are evenly distributed. Put the meat in the refrigerator for an hour or more to allow the flavors to blend.
Heat a little oil in a frying pan and place a teaspoon of the meat mixture in the hot oil. Cook, turning frequently, until done on both sides. Taste, and adjust the salt and seasonings in the remaining meat mixture.
Cut the peppers in half through the stem so that they form six half-pepper cups. Fill each half pepper with meat mixture. Mound the meat no more than a 1/2 inch over the top edge of each pepper. The stuffed peppers can be made in advance to this point and stored covered in the refrigerator for several days.
Light the grill. Cook pepper side down over low heat for 10 to 12 minutes, until the pepper is charred and soft. Turn the stuffed peppers over and cook on the meat side for 10 minutes. Test for doneness. Serve immediately with your choice of salsas. These are also great cold or cut into slices for sandwiches.
Use kebab seasoning such as Sadaf, available in Middle Eastern grocery stores.
Use a Cajun spice blend such as Tony Chachere's or Zatarain's and omit the salt.",grilled-stuffed-peppers-363417,0,
337,Candied Sweet Potato,"['1/4 cup granulated or packed light brown sugar', '1/4 cup vegetable oil', '2 tablespoons water', '1 teaspoon soy sauce', '1 teaspoon rice vinegar', '1/2 teaspoon salt', '2 large Japanese-style sweet potatoes, about 1 pound total weight, unpeeled, cut ran-giri style into chunks', '1 to 1 1/2 tablespoons black sesame seeds', 'freshly dry-roasted']","Combine the sugar, vegetable oil, water, soy sauce, vinegar, and salt in a skillet just large enough to hold the sweet potato chunks in a single layer. Place over medium-high heat and bring to a simmer. Arrange the sweet potatoes in the pan in a single layer and cover with a circle of parchment paper to keep the surface moist. Lower the heat to maintain a very gentle simmer and cook for 2 minutes. Cover the skillet with a lid (keep the parchment in place) and cook for another 2 to 3 minutes, or until the potatoes are tender. A toothpick inserted into the thickest part of a piece should meet no resistance. If the chunks are not yet tender, add a bit more water and simmer for another minute or two. Check to make sure the sugar doesn't burn.
Once the potatoes are tender, remove the lid and parchment and jiggle the skillet to allow the potato chunks to roll around in the rapidly reducing glaze (the vinegar, by the way, will keep the sugar from seizing after the glaze has cooled). After 6 minutes or so, the water and oil in the skillet will have separated and most of the water will have evaporated, enabling you to remove the lightly glazed sweet potato chunks with little or no oil clinging to them.
Transfer the glazed chunks to a plate, spreading them out in a single layer. Sprinkle with the black sesame seeds. Let cool to room temperature before serving. They keep at cool room temperature for 6 to 8 hours. If you will be keeping them longer, place them in a covered container and refrigerate for up to 2 days. For optimal texture, bring the potatoes back to room temperature before serving.",candied-sweet-potato-363149,0,
338,Energy Shake,"['1 1/2 cups fresh orange juice', '1 banana, peeled, cut into 2-inch pieces', '1/2 cup (packed) coarsely chopped kale leaves, center stalk and stem removed', '1/2 kiwi, peeled', '2 pitted medjool dates, coarsely chopped', 'Test kitchen tip: Freeze the banana for a colder', 'thicker beverage.']","Combine orange juice, banana, chopped kale, kiwi, and chopped dates in blender. Puree until smooth, stopping and scraping down sides of blender as needed. Divide between two 12-ounce glasses and serve.",energy-shake-362931,0,
339,Extra-Green Green Goddess Dip,"['2 cups (packed) trimmed watercress sprigs (from 1 large bunch)', '1/2 cup fresh basil leaves', '3 tablespoons chopped fresh chives', '1 tablespoon chopped fresh tarragon', '1/2 teaspoon finely grated lemon peel', '1/2 cup mayonnaise', '1/4 cup crème fraîche or sour cream', '1 1/2 tablespoons fresh lemon juice', '2 anchovy fillets', '1 teaspoon Dijon mustard', '1 garlic clove, peeled', 'Assorted cut-up vegetables (For dipping)', 'Assorted chips (for dipping)']","Assorted cut-up vegetables (for dipping) Assorted chips (for dipping) Combine first 5 ingredients in processor; blend 5 seconds. Add next 6 ingredients. Blend until herbs, anchovies, and garlic are finely chopped, scraping down sides of bowl occasionally. Season dip with salt and pepper. Transfer to bowl. DO AHEAD: Can be made 2 hours ahead. Cover and chill.
Place bowl of dip in center of platter; surround with vegetables and chips.",extra-green-green-goddess-dip-362940,0,
340,Coriander Chicken Tostadas with Refried Beans and Grilled Fennel,"['2 15-ounce cans pinto beans (preferably organic), liquid drained and reserved', '1/2 cup chopped white onion', '2 tablespoons dried oregano', '2 garlic cloves, peeled', '2 teaspoons minced canned chipotle chiles in adobo', '1 teaspoon ground cumin', '1 tablespoon extra-virgin olive oil', 'Coarse kosher salt', '1 large fresh fennel bulb, trimmed, cut through core into 1/3-inch-thick slices (some slices will separate)', '6 tablespoons safflower oil, divided', '4 skinless boneless chicken breast halves', '1/3 cup coriander seeds (about 1 ounce), coarsely crushed in plastic bag', '6 purchased corn tostada shells', '3 cups thinly sliced romaine lettuce', '6 radishes, trimmed, thinly sliced', '6 fresh cilantro sprigs', 'Lime wedges', '""Ingredient info: Chipotle chiles are often sold in a spicy tomato sauce called adobo. Theyre available at some supermarkets and at specialty foods stores and Latin markets.""']","Place beans and next 5 ingredients in processor; blend to chunky puree.
Heat oil in heavy large saucepan over medium heat. Add bean mixture and 1/2 cup reserved bean liquid. Stir over medium- low heat until warmed through, adding more bean liquid if dry, about 5 minutes. Season with coarse salt and freshly ground black pepper. DO AHEAD: Can be made 1 day ahead. Cover; chill. Rewarm before using.
Brush fennel slices with 1 1/2 tablespoons oil; sprinkle with salt and pepper. Heat heavy large skillet over medium-high heat. Add fennel slices. Sear until lightly browned and crisp-tender, 2 to 3 minutes per side. Transfer to plate. Cut into strips. Reserve skillet.
Using rolling pin, flatten chicken between sheets of plastic wrap to 1/4- to 1/3-inch-thick cutlets. Spread out coriander seeds on sheet of foil. Sprinkle chicken with salt and pepper; coat with coriander seeds.
Heat 4 1/2 tablespoons oil in reserved skillet over medium-high heat. Working in batches, if necessary, add chicken to skillet. Sauté until cooked through, about 3 minutes per side. Transfer to work surface. Cool 5 minutes. Cut chicken in half lengthwise, then crosswise into 1/3-inch-wide strips.
Top each tostada shell with beans, lettuce, radishes, fennel, chicken and cilantro sprig. Serve with lime wedges.",coriander-chicken-tostadas-with-refried-beans-and-grilled-fennel-362970,0,
341,"Multi-Grain Pasta with Butternut Squash, Ground Lamb, and Kasseri","['4 8-ounce packages fresh peeled cubed butternut squash (5 to 6 cups)', '2 1/2 tablespoons olive oil, divided', '8 ounces ground lamb', '2 1/2 cups chopped onions', '3 large garlic cloves, minced', '2 teaspoons ground cumin', '1/4 teaspoon ground cinnamon', '1/8 teaspoon cayenne pepper', '1 cup canned crushed tomatoes with added puree (from 28-ounce can)', '2 cups low-salt chicken broth', '8 ounces multi-grain penne pasta (such as barilla)', '1/2 cup chopped fresh cilantro, divided', '1/2 cup grated kasseri cheese, divided', '""Ingredient info: Look for kasseri', 'a firm white cheese made from sheeps milk', 'at supermarkets and Greek markets.""']","Preheat oven to 232°C. Toss squash with 1 1/2 tablespoons oil in large bowl. Sprinkle generously with salt and pepper. Transfer squash to large rimmed baking sheet. Roast until tender and brown around edges, using metal spatula to turn occasionally, 30 to 35 minutes. Remove from oven and set aside.
Heat 1 tablespoon oil in large nonstick skillet over medium-high heat. Add lamb and onions; sauté until lamb browns and onions soften, 7 to 8 minutes. Add garlic and next 3 ingredients; stir 1 minute. Stir in tomatoes, then broth and bring to boil, scraping up any browned bits. Reduce heat; simmer until mixture thickens, about 5 minutes. Stir in squash. Season with salt and pepper.
Cook pasta in large pot of boiling salted water until just tender but still firm to bite, stirring occasionally. Drain, reserving 1 cup cooking liquid. Return pasta to pot. Add lamb mixture, half of cilantro, and half of cheese; toss. Add reserved cooking liquid by 1/3 cupfuls to moisten. Season with salt and pepper. Transfer pasta to bowl. Sprinkle with remaining cilantro and cheese.",multi-grain-pasta-with-butternut-squash-ground-lamb-and-kasseri-362950,0,
342,Curried Lentil Soup,"['3 tablespoons olive oil, divided', '1 medium onion, chopped', '1 medium carrot, finely chopped', '2 large garlic cloves, chopped, divided', '2 tablespoons (or more) curry powder', '1 cup French green lentils', '4 1/4 cups (or more) water, divided', '1 15- to 16-ounce can chickpeas (garbanzo beans), drained, rinsed', '1 tablespoon fresh lemon juice', '2 tablespoons (1/4 stick) butter', '2 green onions, thinly sliced 1 lemon, cut into 6 wedges', 'Ingredient info: French green lentils are small', 'dark green', 'and speckled with black; they can be found at some supermarkets and at specialty foods stores.']","Heat 1 tablespoon olive oil in heavy large pot over medium heat. Add onion and carrot; sprinkle with salt and pepper. Cook until onion is translucent, stirring occasionally, about 4 minutes. Add half of chopped garlic; stir until vegetables are soft but not brown, about 4 minutes longer. Add 2 tablespoons curry powder; stir until fragrant, about 1 minute. Add lentils and 4 cups water. Sprinkle with salt and pepper. Increase heat and bring to boil. Reduce heat to medium; simmer until lentils are tender, about 30 minutes.
Meanwhile, puree chickpeas, lemon juice, 1/4 cup water, remaining 2 tablespoons olive oil, and remaining garlic in processor.
Add chickpea puree and butter to lentil soup. Season to taste with salt, pepper, and additional curry powder, if desired. Add water by 1/4 cupfuls to thin to desired consistency. DO AHEAD: soup can be made up to 1 day ahead. Cool, cover, and refrigerate. Rewarm before continuing.
Divide soup among bowls. Sprinkle with thinly sliced green onions and serve with lemon wedges.",curried-lentil-soup-362489,0,
343,Mashed Potatoes and Parsnips With Caramelized Onions and Blue Cheese,"['1 tablespoon olive oil', '3 large white onions, thinly sliced', '2 tablespoons brown sugar', '1/4 teaspoon salt', '3 baking potatoes (such as Yukon gold, about 2 pounds), peeled and cubed', '6 parsnips (about 1 lb), peeled and cut into 1-inch pieces', '1 1/2 cups low-sodium chicken broth, heated', '1/4 cup crumbled blue cheese', '3 tablespoons fresh thyme', 'chopped']","Heat oil in a large skillet over high heat; reduce to medium. Cook onions with sugar and salt, stirring occasionally, until onions brown, 20 to 25 minutes. Add a few tablespoons water as you cook to keep onions from sticking or burning. Fill a medium stockpot ¾ full with cold water. Add potatoes and parsnips; bring to a boil over high heat. Reduce heat and simmer until potatoes and parsnips are fork-tender, 20 to 25 minutes, then drain. Beat 1/4 of potato parsnip mixture and 3 ounces broth in a mixing bowl with an electric mixer on medium speed until smooth. Repeat, alternating between potato-parsnip mixture and broth, until you've incorporated all. Fold in onions, cheese and thyme, and serve.",mashed-potatoes-and-parsnips-with-caramelized-onions-and-blue-cheese-361869,0,
344,Scallop Seviche with Daikon,"['1 pound fresh scallops, cut into 1/3-inch rounds', '2 tablespoons grated Vidalia onion', '2 tablespoons diagonally sliced scallions (green part only)', '2 tablespoons julienned daikon radish', '1/4 cup rice wine vinegar', '1/4 cup soy sauce', '3 tablespoons lemon juice', '1/8 teaspoon finely chopped red chile']",Mix all ingredients except scallops and season with salt and pepper. Add scallops. Let sit 20 minutes before serving.,scallop-seviche-with-daikon-361871,0,
345,Mushroom and Lentil Pot Pies with Gouda Biscuit Topping,"['1/2 cup lentils', '1/4 teaspoon salt', '1 ounce dried porcini mushrooms', '2 tablespoons olive oil, divided', '6 ounces fresh mushrooms, sliced', '1 medium onion, chopped', '1 carrot, cut into 1/4-inch-thick rounds', '1 1/2 teaspoons dried sage', '1/4 teaspoon dried thyme', '1 large garlic clove, minced', '2 tablespoons all purpose flour', '2 medium Yukon Gold potatoes, peeled, cut into 1/2-inch chunks', '4 teaspoons soy sauce', '1 tablespoon tomato paste', '1 cup plus 2 tablespoons all purpose flour', '6 tablespoons yellow cornmeal', '1 1/4 teaspoons baking powder', '1/2 teaspoon salt', '4 teaspoons chilled unsalted butter, diced', '1/2 cup buttermilk', '3/4 cup (packed) coarsely grated Gouda cheese about 3 ounces']","Combine 3 cups cold water, lentils, and 1/4 teaspoon salt in medium saucepan; bring to boil. Reduce heat, cover, and simmer until lentils are tender, 25 to 30 minutes. Drain; set lentils aside.
Pour 3 cups boiling water over porcini in medium bowl; soak 25 minutes. Remove porcini from soaking liquid, squeeze dry, and chop coarsely. (Reserve soaking liquid.)
Heat 1 tablespoon oil in heavy large skillet over medium-high heat. Add fresh mushrooms. Sauté 3 minutes. Add 1 tablespoon oil, onion, carrot, sage, and thyme. Sauté 4 minutes. Add garlic; sauté 30 seconds. Reduce heat to medium-low. Mix flour into vegetables; cook 1 minute. Add porcini soaking liquid. Mix in porcini, potatoes, soy sauce, and tomato paste. Cover; simmer until potatoes are tender, stirring occasionally, 13 to 15 minutes. Add lentils; season with salt and pepper. Divide filling among four 2-cup ovenproof bowls. DO AHEAD: Can be made 2 days ahead. Cover; chill. Bring to room temperature before continuing.
Preheat oven to 204°C. Combine flour, cornmeal, baking powder, and salt in processor; blend 5 seconds. Add butter; pulse until mixture resembles coarse meal. Add buttermilk; pulse until dough forms moist clumps. Turn dough out onto lightly floured surface. Divide into 4 equal pieces; shape each into 2/3-inch-thick disk. Set rounds atop filling; top with cheese.
Bake pot pies on baking sheet until tester inserted into biscuit topping comes out clean, about 30 minutes.",mushroom-and-lentil-pot-pies-with-gouda-biscuit-topping-361671,0,
346,"Lamb Chops with Red Onion, Grape Tomatoes, and Feta","['1/2 cup plus 2 tablespoons extra-virgin olive oil', '1/4 cup red wine vinegar', '2 tablespoons fresh lemon juice', '3 garlic cloves, minced', '3 tablespoons chopped fresh oregano, divided', '3/4 teaspoon ground cumin', '4 lamb shoulder blade chops (each 1/2 to 3/4 inch thick)', '1 10- to 12-ounce container grape tomatoes', '1/2 cup coarsely crumbled feta cheese', '1/2 cup paper-thin red onion slices']","Whisk 1/2 cup olive oil, red wine vinegar, lemon juice, minced garlic, 2 tablespoons oregano, and ground cumin in medium bowl; season to taste with salt and pepper. Transfer 1/2 cup dressing to large bowl; add lamb chops and stir to coat. Let marinate 30 minutes, stirring occasionally. Add grape tomatoes to remaining dressing in medium bowl; toss to coat.
Sprinkle lamb chops with salt and pepper. Heat remaining 2 tablespoons olive oil in heavy large skillet over medium-high heat. Sauté lamb chops until browned on both sides and cooked to desired doneness, about 4 minutes per side for medium, depending on thickness. Transfer lamb chops to 4 plates (reserve skillet).
Using slotted spoon, transfer tomatoes to same skillet (reserve dressing from tomatoes in bowl). Sauté tomatoes until skins begin to wrinkle, about 2 minutes. Top lamb chops with tomatoes, then feta, red onion, and remaining 1 tablespoon oregano. Drizzle with reserved dressing.",lamb-chops-with-red-onion-grape-tomatoes-and-feta-361591,0,
347,Spaghetti and Meatballs,"['2 28-ounce cans whole peeled tomatoes in juice, drained, juice reserved, tomatoes finely chopped', '1/2 cup (1 stick) unsalted butter', '2 medium onions, peeled, halved through root end', '1/2 teaspoon (or more) salt', '1 cup fresh breadcrumbs made from crustless French or country-style bread', '1/3 cup whole milk', '8 ounces ground beef (15% fat)', '8 ounces ground pork', '1 cup finely ground (not grated) Parmesan cheese', '1/3 cup finely chopped Italian parsley', '1 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '2 large eggs', '2 large garlic cloves, pressed', '1 pound spaghetti', 'Freshly grated Parmesan cheese (for serving)']","Combine tomatoes with juice, butter, onions, and salt in large wide pot. Bring to simmer over medium heat. Reduce heat; simmer uncovered 45 minutes, stirring occasionally. Discard onions. Using immersion blender, process sauce briefly to break up any large pieces of tomato (texture should be even but not completely smooth). Season sauce with more salt and freshly ground black pepper. Remove from heat.
Combine breadcrumbs and milk in small bowl; stir until breadcrumbs are evenly moistened. Let stand 10 minutes.
Place beef and pork in large bowl and break up into small chunks. Add 1 cup ground Parmesan, parsley, salt, and pepper.
Whisk eggs to blend in small bowl; whisk in garlic. Add to meat mixture.
Using hands, squeeze milk from breadcrumbs, reserving milk. Add breadcrumbs to meat mixture. Using hands, quickly and gently mix meat mixture just until all ingredients are evenly combined (do not overmix). Chill mixture at least 15 minutes and up to 1 hour.
Moisten hands with some of reserved milk from breadcrumbs, then roll meat mixture between palms into golf-ball-size balls, occasionally moistening hands with milk as needed and arranging meatballs in single layer in sauce in pot. Bring to simmer.
Reduce heat to medium-low, cover, and simmer until meatballs are cooked through, 15 to 20 minutes. DO AHEAD: Can be made 2 days ahead. Cool slightly. Chill uncovered until cold, then cover and keep chilled. Rewarm before continuing.
Cook spaghetti in large pot of boiling salted water until just tender but still firm to bite, stirring occasionally. Drain.
Using slotted spoon, transfer meatballs to platter. Add pasta to sauce in pot and toss to coat. Divide pasta among 6 plates. Top each serving with meatballs. Sprinkle meatballs with freshly grated Parmesan cheese and serve.",spaghetti-and-meatballs-361349,0,
